order,english,korean,spanish,russian
stage title story 0_1,Orcs are very aggressive race. But they are pretty much like human beings. They sometimes ask a question about why orcs eat and smell things. It means they have ego. Just like human beings` they also do art work like painting and making sculptures. But there is one thing they don’t have a question about why they are doing it. That is a fight. Nobody ever in history of Orcs has a question about why they have to fight. They just fight like animals make doodies after mill. That was just a natural behavior. So as usual` Orcs were happy thinking about a fight that will be placed on the day after. But Adun the newbie general of human side already knew about the fight Orcs’ plan. Thus he decided to attack them before the sunrise.,오크는 매우 호전적인 종족이야. 응? 호전적인게 뭐냐구? 쌈박질 좋아한다는 뜻이지. 흐흐. 그런데 그들도 인간과 많이 다르지는 않았어. 그들도 자신의 존재가치에 대한 질문을 던질 수 있을 만큼의 지성을 가진 종족이었지. 그들도 인간들처럼 그림도 그리고 조각도 하는 문명인이라는거야. 다만 하나 다른점이라면 그들은 쌈박질에 관해서라면 이유가 필요하지 않았지. 왜 싸우는지도 중요치 않았어. 그저 본능처럼 싸우는 거야. 싸울 상대가 없으면 지들끼리도 싸우곤 하지. 그런 그들이었으니. 다음날 펼쳐질 인간과의 전쟁을 기다리는 시간이 너무나도 즐거웠어. 하지만 휴먼족의 장군인 아둔 역시 싸우는 걸 무척이나 좋아했어. 하지만 지는게 너무 싫었던 그는 정면 싸움을 그리 즐기지는 않았어. 그래서 그는 약속된 전쟁의 전날밤에 오크를 기습하기로 결정한거야!,Los orcos eran una raza muy agresiva` pero se parecían mucho a los humanos. A veces se preguntaban cosas como por qué comían u olían cosas` lo que quiere decir que eran conscientes de su existencia. Al igual que los humanos` también hacían trabajos artísticos` como pinturas y esculturas. Sin embargo` había una única cosa que no se cuestionaban; y esa era la lucha. Nunca nadie` en la historia de los orcos` se había preguntado por qué tenían que luchar. Para ellos` luchar era como respirar` estaba en su naturaleza. Así que` como siempre había sido` los orcos eran felices pensando en la batalla que tendría lugar el día siguiente. Sin embargo` Adun` el nuevo general de los humanos` ya sabía cuál era el plan de los orcos. Así que decidió atacarles antes del amanecer.,Орки очень агрессивная раса. Но они весьма похожи на людей. Иногда они задаются вопросом о том` почему же они едят` зачем чувствуют запахи. А это говорит о том` что у них есть сознание. Так же` как и люди` они делают занимаются творчеством: пишут картины или делают скульптуры. Но есть одна вещь` по поводу которой у них не возникает вопроса «зачем?» – это сражения. Никто в истории орков не задавался вопросом о том` почему они должны сражаться. Они просто дерутся` как животные предаются утехам за мельницей. Это было просто естественное поведение. Что ж` как и всегда` орки были счастливы` думая о завтрашнем сражении. Но Адун` новый предводитель войска людей` уже знал о планах орков. Что бы опередить их` он решил атаковать до рассвета.
stage title story 0_2,It was not long after humans started enjoying their victory. Because Orcs are very nimble` it took a less than a few hours for the other Orcs to come to the battle field. It was impossible to win against hundreds of Ocrs. Adun only has a dozen of swordsmen and archers after the glorious battle. But lucky for Adun` Orcs are very upset. They don’t wait for the other troop. Once they arrived` they attack. So Adun does not have to fight against hundreds of Orcs at a single battle. It is just a battle against a few of Orcs for hundred times. But it is not easy. Orcs are very strong. Adun needs one more card. And he knew the best defense is the best attack. Orcs has a report that humans are defending themselves at their base. But humans are advancing forward and forward. Who do you think will win the battle?,휴먼족은 기습을 성공하고 지난 전투에서 승리를 거머쥐었지. 하지만 승리에 취해서 잠시 병사들을 그 자리에서 쉬게한 아둔의 결정은 정말 큰 실수였어. 발빠른 오크족은 동족의 패배 소식을 듣고 전장으로 출발했고` 그 수가 수백에 달하는 오크족 병사들이 전장으로 오고 있다는 첩보를 듣게 됐거든! 불행히도 아둔의 병력은 기습을 위해 기동성을 중시해서 그 숫자가 많이 않았어. 기껏해야 50명의 정예부대. 그마저도 전투에서 절반 이상을 잃었지. 하지만 아둔은 절망하지 않았어. 왜냐구? 아둔은 오크족을 잘 알고 있었거든. 싸움을 참지 못하는 오크족은 전장에 도착하는 족족 전투를 걸어오지. 아둔은 수백의 병력과 한 번에 전투를 벌이는 대신 10명도 되지 않는 적들과 수십번의 전투를 하면 되는 거였어. 하지만 그리 쉽지만은 않다는 것도 알고 있었지. 오크족은 전투를 좋아하는 만큼 아주 강한 전사들이거든. 그래서 아둔은 한 가지 방법을 떠올렸어. 그 자리에서 방어하는 것보다 적이 오는 방향으로 전진에서 매복을 하는 거였지. 과연 아둔은 이 전투도 이길 수 있을까?,Los humanos no tardaron mucho en celebrar su victoria. Pero los orcos eran avispados y solo bastó con unas pocas horas para que otros orcos acudieran al campo de batalla. Era imposible ganar contra centenares de orcos y a Adun solo le quedaban una docena de espadachines y arqueros tras la gloriosa batalla` pero` por suerte para Adun` los orcos estaban muy cabreados y atacaban según llegaban` sin esperar al resto de las tropas. De manera que Adun no tuvo que enfrentarse a centenares de orcos en una sola batalla. Solo a unos cientos de batallas contra unos pocos orcos en cada una. Sin embargo` no fue fácil` pues los orcos eran muy fuertes. Pero Adun tenía un as bajo la manga y sabía que la mejor defensa es un buen ataque. Los orcos informaron de que los humanos se estaban defendiendo en su base` pero en realidad avanzaban cada vez más. ¿Quién crees que ganará?,Вскоре люди начали упиваться своей победой. Вскоре все больше и больше новых орков выходили на поле боя. Казалось невозможным победить сотни орков. После славной битвы Адун имеет лишь дюжину мечников и лучников. Адуну повезло` что орки разрознены. Они` не дожидаясь прибытия других отрядов` сразу же вступают в бой. Так что Адуну не нужно сражаться с сотнями орков одновременно. Это просто битва против нескольких орков` повторяющаяся раз за разом. Хотя` даже это нелегко. Ведь орки очень сильны – война у них в крови. Адуну нужна другая стратегия. И он знал` что лучшая защита – это нападение. Орки сообщают` что люди защищаются на своей базе. Шаг за шагом` люди продвигаются всё дальше. Как вы думаете` кто же победит в этой битве?
stage title story 0_3,Orcs get serious damage fm the last battle against humans. Khalan the chief of Ocrs commands to concentrate all the troop. Yes. It is time to face the biggest battle ever. But wait! Who is it? Someone under weird mask shows up with his weird laughing sound. It took a few seconds before Adun recognized him. He is Lamington the legendary hero that was kicked from the army for having an affair with a female orc. Story tells he has been dead. But that is not true. He is alive and standing in front of Adun. Because he is a huge fan of the hero` Adun has so many questions for the hero. Why is he here? What is he doing here? Why is the mask so weird?,오크는 지난 전투에서 큰 피해를 입었어. 그제서야 오크 족장인 칼란은 동족들을 한데 모았지. 맞아. 흥분한 칼란은 온동족을 모아서 역사상 가장 큰 전쟁을 벌이려고 하고있어! 근데 이게 누구야? 가면을 쓴 이상한자가 그들을 가로막았어. 이상한 웃음소리를 내면서 말이야. 하지만 아둔은 한 번에 그를 알아보았지. 그는 여성오크와 사랑에 빠져 휴먼족에게서 추방당한 레밍턴 장군이었어! 그가 죽었다는 소문이 돌았지만 사실이 아니었던게지. 살아있는 그가 지금 아둔의 눈앞에 서있으니까 말이야. 아둔은 어릴적부터 레밍턴을 동경해왔어. 궁금한게 너무도 많았지만 지금 가장 궁금한 건 하나였지. 그 멋있던 레밍턴이 왜 저런 이상한 가면을 쓰고 있는걸까?,Los orcos salieron bastante malparados de su última batalla contra los humanos. Khalan` el jefe de los orcos` ordenó reunir a todas sus tropas. Sí. Era el momento de enfrentarse a la mayor batalla jamás vista. ¡Espera un momento! ¿Quién era ese? Un misterioso enmascarado apareció con una risa macabra. Adun lo reconoció enseguida. Se trataba de Lamington` el héroe legendario que fue expulsado del ejército por tener un romance con una orca. Las historias contaban que estaba muerto. Al parecer se equivocaban` porque estaba vivo y frente a Adun. Como Adun era un gran fan del héroe` tenía muchas preguntas que hacerle. ¿Por qué estaba allí? ¿Para qué? ¿Por qué la máscara era tan rara?,Орки получают серьезный урон в последней битве против людей. Халан` вождь орков` приказывает сосредоточить все войска. Да! Настало время столкнуться в самой большой битве в истории. Но подождите! Кто это? Кто-то` скрываясь под странной маской и смеясь` появляется перед Адуном. Прошло всего несколько секунд` прежде чем Адун узнал его. Он - Ламингтон` легендарный герой` которого изгнали из армии за роман с женщиной-орком. История говорит` что он был мертв. Но это неправда. Он жив и стоит перед Адуном. У Адуна так много вопросов к герою. Почему он здесь? Что он здесь делает? Почему маска такая странная?
stage title story 0_4,Lamington is not bluffing. He actually has superior army than any of Orcs and humans. And the first target would be Orcs. Orcs are very aggressive and never pullback. But this time it is a little bit different. Orcs are terrified. They fear not on the field. But when it comes to ghost and zombies. They fear a lot. At that time` Adun realized humans can’t defeat Lamington’s army either. Humans has to conclude an alliance with Orcs. He hates Orcs. But zombies are the worst.,레밍턴의 말은 허풍이 아니었어. 정말로 그의 병력은 오크와 휴먼의 병력을 크게 상회하고 있었거든. 그리고 그 병력의 오크를 향해 가고 있었지. 오크는 용맹하고 전투에 있어서는 두려움을 몰랐지만 이 번엔 달랐어. 그 용맹하던 오크들이 겁을 먹었지. 죽는것도 두려워하지 않는 오크들도 무서운게 하나 있던거야. 바로 귀신들이지. 좀비도 그들이 보기엔 귀신같았던 거야. 오크들은 그들에게서 도망가기 바빴지. 같은 시간 아둔은 다른 생각을 하고 있었어. 레밍턴의 병력을 휴먼족만으로는 감당하기 어렵다는 걸 깨닫는데는 그리 오랜 시간이 걸리지 않았지. 레밍턴과의 전쟁을 이기기 위해선 오크와의 협력이 불가피하단 결론에 도달했던거야. 오크도 싫지만 좀비는 더 싫었거든.,Lamington no iba de farol. Era cierto que su ejército era más grande que el de los orcos y los humanos. Y su primer objetivo serían los orcos. Los orcos eran muy agresivos y nunca se rinden` pero esta vez era diferente; estaban aterrorizados. No temían al campo de batalla` pero cuando se trata de fantasmas y zombis...se cagaban de miedo. En ese momento` Adun se dio cuenta de que tampoco era capaz derrotar al ejército de Lamington. Los humanos tenían que fundar una alianza con los orcos. Adun los odiaba` pero los zombis eran lo peor.,Ламингтон не блефует. У него на самом деле армия превосходящая армии людей и орков вместе взятых. Его первой целью стали орки. Они очень агрессивны и никогда не отступают. Но на этот раз все немного по-другому. Орки в ужасе. Они не боятся войны. Но вот зомби` призраки` да` это ввергает их в ужас. Адун понимает` что ему не одолеть армию Ламингтона. Люди должны объединиться с орками` заключить с ними союз. Ненависть к оркам велика` но из двух зол выбирают меньшее.
stage title story 0_5,So Adun saved Orc troops. They both hate each other. But not now. Now` they have a common enemy. There is a saying that enemy’s enemy is my friend. Until the threat of zombies disappear` they decided to put all they power to clean the zombies out. Everything looks promising. But it wasn’t. He has no idea what’s coming next. Who’s he? Well` let’s find out.,그래서 아둔은 오크족을 도와 좀비와의 첫 전투를 승리로 이끌었어. 그들은 당장이라도 서로에게 무기를 들이대고 싶었지만 지금은 그럴때가 아니란걸 알고 있었지. 지금은 공공의 적이 있거든. 적의 적은 나의 아군이란 말도 있지. 뭐 대부분은 그렇지 않지만.(키키) 아무튼 그들은 좀비의 위협이 사라질 때까지 불가침조약을 맺었어. 모든게 희망적이었지. 마치 오크와 휴먼간의 긴 전쟁이 끝난 것처럼 말이야.,De modo que Adun salvó a las tropas orcas. Ambos se odiaban` pero no era el momento para ello` tenían un enemigo común. Según el dicho` el enemigo de mi enemigo es mi amigo. Decidieron no darse por vencidos hasta que acabaran con los zombis. Todo parecía prometedor... Nada más lejos de la realidad. Adun no tenía ni idea de lo que se le venía encima. ¿Qué sería? Bueno` vamos a averiguarlo.,Адун спасает войска орков. Они оба ненавидят друг друга. Но сейчас не время для вражды. Новый враг стоит на пороге и одолеть его можно лишь совместными усилиями. Говорят` что враг моего врага - мой друг. И пока угроза зомби не исчезла` они решили использовать все свои силы` чтобы справиться с ней. Выглядит многообещающе. Но это не так. Он понятия не имеет` что будет дальше. Кто он? Ну` давай узнаем.
stage title story 0_6,One of Orcs troop accidentally witnessed Lamington is crawling in to a house that looks like his shelter. Did they find out his place? It that really Lamington’s house? It doesn’t matter. If they can catch him` the war is over. Nobody can possibly find a single reason to hesitate. Adun gathers good men and made them sneak into the zone.,오크 병사 중 하나가 레밍턴이 어떤 집으로 들어가는 걸 목격했다는 소식이 들려왔어. 그게 레밍턴의 집인지 잠시 들른건지는 알 수 없었지. 하지만 만약 그게 레밍턴의 집이고 그가 휴식을 취할 때 습격해서 레밍턴을 저지하면 이 전쟁을 끝낼수도 있는 일이었지. 물론 함정일 수도 있어. 하지만 그냥 놓치기에는 너무 아까운 기회였지. 그 누구도 망설일 이유를 찾지 못했어. 아둔은 즉시 기동대를 편성하고 그 지역으로 침투했어. 하지만 그 길목에는 좀비들이 가득했지! 정말 그 집은 레밍턴의 주둔지인걸까?,Una de las tropas orcas vio` casi sin quererlo` como Lamington se arrastraba hasta una casa que parecía ser su refugio. ¿Habrían encontrado su guarida? ¿Sería realmente la casa de Lamington? No importaba; si lo atrapaban` la guerra se acabaría. Nadie podía encontrar una razón para echarse atrás. Adun juntó a sus mejores hombres y se infiltraron en la zona.,Один из отрядов орков` случайно увидевший Ламингтона` заползает в дом` похожий на его укрытие. Они обнаружили его логово? Это действительно дом Ламингтона? Это не имеет значения. Если они смогут его поймать` то война будет окончена. Нет причин колебаться. Адун собирает отряд и отправляет их пробраться туда.
stage title story 0_7,The place they sneaked into was a trap. IT’S A TRAP! Swarm of zombies awaits them. It looks like there is no way out. A second before they gave up their lives` they saw a little light. God never gave up on them. The trap is in the forest which by the way looks really familiar to them. It was kind of a maze. Zombies stopped moving. Because they are not smart enough to break the path. They have a final chance to break the situation.,그들이 침투한 지역은 역시나 함정이었어. 좀비떼가 그들을 기다리고 있었지. 빠져나갈 구멍은 하나도 보이지 않았어. 전투를 포기하고 무기를 내려놓으려던 찰나! 그들은 한 줄기 빛을 보았지. 아직 신은 그들에게서 시선을 떼지 않았던게야! 그 곳은 수 년전 그들이 야영했던 장소와 가까웠지. 마치 미로같았던 그들의 야영지. 그 숲이라면 좀비들에게서 시간을 벌고 전열을 재정비 할 수 있다 판단하고 그들은 그 숲으로 향했어.,El lugar en el que se infiltraron era una trampa. ¡UNA TRAMPA! Una plaga de zombis les esperaba. Parecía no haber escapatoria. Un instante antes de darse por vencidos` vieron una lucecilla. Dios no les había abandonado todavía. La trampa estaba en un bosque que les resultaba familiar` parecía un laberinto. Los zombis se detuvieron porque no eran lo suficientemente listos como para averiguar el camino. Tenían una última oportunidad de darle la vuelta a la tortilla.,Место` куда они проникли` оказалось ловушкой. ЭТО ЛОВУШКА! Рой зомби поджидал их. Похоже` выхода нет. За миг до того` как они попрощались со своими жизнями` луч света пробился сквозь ветви. Бог никогда не покидал их. Ловушка располагалась в лесу` который` кстати` кажется им очень знакомым. Это был своего рода лабиринт. Зомби застыли` не в состоянии найти путь в нём. У отряда остался последний шанс переломить ситуацию в свою пользу.
stage title story 0_8,Humans just survived through the critical trap. But who knows what’s coming next? An unexpected situation is waiting for them. Orcs were killing each other. Adun’s jaw has dropped. And one of the axes flying over the field was heading to Adun! And right before the axe was about to make a knock knock joke on Adun’s head` someone hit the axe away and saved his life. It was Khalan. What happened to Orcs? It was a revolt. Some Orcs hated Humans way more than they did Zombies. Adun has no other option but help disable the revolt.,아둔은 겨우겨우 함정에서 빠져나왔어. 야영지에 있던 금광 때문에 더욱 강화된 병력과 함께 전장에서 당당히 돌아올 수 있었지. 하지만 이게 왠걸? 어처구니 없는 일들이 눈앞에 펼쳐지고 있는게 아니겠니? 오크들이 서로 싸우고 있던거야. 그러다 오크의 도끼가 아둔에게 날아오던 찰나에 칼란의 도끼가 날아와 아둔의 머리칼을 자르고 목을 향하던 도끼를 날려버렸어. 오크족 내에서 반란이 일어난거야. 좀비도 싫지만 휴먼족이 너무나도 싫었던 일부 오크족이 칼란에게 반기를 들었던게지. 좀비보다 휴먼이 더 싫은 오크도 있었던게야.,Los humanos acababan de sobrevivir a una trampa mortal. Pero` ¿quién sabe qué vendría después? Una situación inesperada les aguardaba; los orcos se mataban entre ellos. Adun estaba perplejo. En ese momento` vio como un hacha orca se dirigía hacia su cabeza dispuesta a darle un beso de buenas noches` pero ` de repente` otra hacha orca se interpuso para salvarle la vida; era el de Khalan. ¿Qué pasaba con los orcos?. Simple. Algunos odian a los humanos más que a los zombis. Era una rebelión y a Adun no le quedaba otra que pararla.,Отряду всё же удалось выжить в этой ловушке. Но кто знает` что будет дальше? Что-то непредсказуемое ждёт их. Орки убивали друг друга. У Адуна отвисла челюсть. Один из топоров летел прямо в Адуна! За миг до того` как топор собирался впиться в голову Адуна` кто-то взмахнул топором и спас ему жизнь. Это был Халан. Что твориться с орками? Это бунт? Некоторые орки ненавидели людей гораздо больше` чем зомби. У Адуна не осталось другого выбора` кроме как помочь подавить бунт.
stage title story 0_9,The revolt of Orc is disabled with a help of Human. But as I said` nobody knows what’s coming. This time. There is a trouble in an army of Humans. A betrayer was helping Lamington’s plan. Why? Because he doesn’t like the fact that Orcs and Humans getting along. He is so furious about that. He decided to help Lamington to extinguish Orcs and Humans on this planet. So stuipid` right?,휴먼의 도움으로 오크족의 반란군을 모두 무력화시킬 수 있었어. 하지만 이 다음에 무슨 일이 일어날지는 아무도 모르는 일. 이번엔 휴먼족 내에서 분란이 있었던게야. 배신자가 몰래 레밍턴을 돕고 있었지. 왜냐구? 반란을 일으켰던 오크와 같은 이유야. 오크에게 부모를 잃은 많은 병사들은 오크와의 동맹을 받아들일 수가 없었지. 오크의 적이 되길 원했던 그들은 오크와 동맹을 맺은 휴먼이 아닌 오크의 적. 바로 좀비들의 편에 섰던 것이지. 정말 바보같은 생각 아니니?,Se neutralizó la rebelión de los orcos gracias a los humanos. Pero` como he dicho` nadie sabía qué estaba pasando. Esta vez había un problema dentro del ejército de los humanos. Un traidor había estado ayudando a Lamington con su plan. ¿Por qué? Porque no le hacía ninguna gracia que orcos y humanos se llevasen bien. Estaba tan cabreado que decidió ayudar a Lamington a erradicar tanto a orcos como a humanos de este planeta. Qué tontería` ¿no?,Восстание орков было остановлено с помощью людей. Но` как я уже говорил` никто не знает` что будет. В это время` в армии людей появилась проблема. Обнаружился предатель` помогавший воплощать план Ламингтона. Зачем? Ему не понравился факт того` что орки и люди ладят друг с другом. Это злит его` и он решил помочь Ламингтону уничтожить орков и людей на этой планете. Как же глупо` не так ли?
stage title story 0_10,Now` there is no interruption between each other. Just Zombies vs Human and Orc alliance. At first` it looks like Zombies are so many like they will never stop coming up from the ground. And it is. They are endless. But there is a hive of zombies. Without the hive they can’t continue infecting dead bodies. And it is in front of Adun’s army. It is not going to be easy. But it is something Adun must face.,모든 분란이 사라지고 드디어 좀비와 오크 휴먼 동맹은 큰 전쟁을 앞두게 되었지. 휴먼과 오크는 좀비군대를 앞에 두고 생각했어. 처음엔 끝도 없어 보이던 좀비들이 지금도 끝도 없어 보이는거야! 사실이야 끝도 없어. 산사람은 물론 죽은 시체들까지 좀비로 일으켜세우니까 말이야. 하지만 멈출 수 있는 방법은 있지. 좀비 하이브. 그걸 없애면 시체들이 좀비화되는 걸 막을 수 있어. 그리고 아둔의 군대는 마침내 하이브 앞까지 도착했지. 이 전투가 쉽지는 않을꺼야. 하지만 피할 수도 없는 전투 이기도 하지.,Ya no había nada que les parase los pies. Tan solo zombis contra la alianza de humanos y orcos. Al principio había tantos zombis que parecía que no pararan de salir del suelo. Y así era` eran incontables. Sin embargo vieron una colmena de zombis frente al ejército de Adun` si la destrozaban` dejaría de infectar a los cadáveres. No iba a ser fácil` pero era algo a lo que Adun tenía que enfrentarse.,Но сейчас нет никаких помех между орками и людьми. Просто зомби против людей и орков. Сначала кажется` что зомби так много` что они никогда не перестанут подниматься из-под земли. И это так. Им нет конца. Но есть улей. Без улья они не смогут продолжать заражать мертвые тела. И он прямо перед армией Адуна. Это будет нелегко. Но Адун должен столкнуться с этим.
stage title story 0_11,The hive of Zombies are gone. No more fresh zombies are rising. Just smashing current zombies will save the world. And maybe another war will begin between Human and Orc. But Adun is thinking Orc might change after this battle. Maybe they can live along just like they do now. So Adun is running to Zombies with a smile on his face thinking about a world without a war. But the biggest war on the history is reserved after this battle. Nobody knows what’s coming.,좀비 하이브가 사라졌어! 아둔의 전략이 성공한거지. 더 이상 싱싱한 좀비는 만들어지지 않을꺼야. 눈에 보이는 좀비들만 뭉개버리면 다시 좀비없는 세상이 오는거지. 좀비가 없는 세상에는 다시 오크와 휴먼의 전쟁이 자리를 잡겠지만. 아둔은 한 가지 희망을 가지고 있었어. 이 전투 후에 같이 싸운 서로를 동료로서 맞이하고 영원한 동맹을 맺는 희망 말이야! 지금처럼 어깨를 나란히 한 채 살아가는 휴먼과 오크를 생각하며 아둔은 요상한 미소를 머금은 채 좀비들을 향해 돌진했어. 이 전투가 세상의 마지막 전투이길 바라며! 어리석게도 말이야.,La colmena de zombis fue destruida. No aparecían nuevos zombis` solo aplastar a los que quedaban salvaría el mundo. Y probablemente otra guerra entre orcos y humanos empezaría. Aunque Adun pensaba que los orcos podían cambiar tras esta batalla y` quizás` pudieran convivir como lo hacían en ese momento. De manera que se abalanzó contra los zombis con una sonrisa en la cara al pensar en un mundo sin guerras. Sin embargo` la mayor guerra de la historia aguardaba tras esta batalla. Nadie sabía qué sería lo próximo.,Улей зомби ушел. Новым зомби теперь неоткуда взяться. Осталось просто истребить их остатки и это спасёт мир. И` возможно` начнется еще одна война между людьми и орками. Но Адун считает` что орки возможно изменятся после этой битвы. Быть может` они смогут жить так же` как сейчас` без распрей между народами. Итак` Адун бежит к зомби с улыбкой на лице` думая о мире без войны. Но эта война войдёт в историю как самая великая. Никто не в состоянии предсказать` что будет дальше.
stage title 1_0,Beginning of the second war,2차 전쟁의 시작,Inicio de la segunda guerra.,Начало второй войны
stage title 1_1,Suspicious Orcs,수상한 오크,Orcos sospechosos,Подозрительные Орки
stage title 1_2,Weird Human beings,이상한 휴먼,Seres humanos raros,Странные люди
stage title 1_3,A stupid man,멍청한 남자,Un hombre estupido,Глупый человек
stage title 1_4,Zombies again,다시 나타난 좀비,Zombies de nuevo,Опять зомби
stage title 1_5,Betrayers again,또 다른 반란,Traidores de nuevo,Опять предатели
stage title 1_6,Overwhelming,위기,Abrumador,Подавляющий
stage title 1_7,Another alliance,또 한 번의 동맹,Otra alianza,Еще один альянс
stage title 1_8,Reconstruction,재건,Reconstrucción,Реконструкция
stage title 1_9,A spy,첩자,Un espía,Шпион
stage title 1_10,Frontline,전선,Frontline,Frontline
stage title 1_11,End of Numan,뉴먼의 마지막,Fin de Numan,Конец Нумана
stage title story 1_0,"A threat from a horde of zombies vanished. And Humans and Orks started a war again. But it was a little bit different from before. Khalan, Orc's chief, still think humans are naughty to destroy the nature. But he was surprised at that they didn’t notice they had been destroying the nature. So he started to think Humans are not only naughty but also stupid.",거대한 좀비 떼의 위협이 사라졌다. 그리고 휴먼과 좀비 간의 전쟁은 다시 시작되었다. 하지만 이번엔 오크의 족장인 칼란의 생각이 조금 바뀌었다. 휴먼족이 못되처먹었다는 사실에는 변함이 없으나. 그들이 자연을 해치고 있다는 것을 자각하지 못하고 있다는 사실에 그들은 더 놀란 것이다.,"Una amenaza de una horda de zombies desapareció. Y los humanos y los orkos comenzaron una guerra de nuevo. Pero fue un poco diferente de antes. Khalan, el jefe de Orc, todavía piensa que los humanos son malos para destruir la naturaleza. Pero se sorprendió de que no notaran que habían estado destruyendo la naturaleza. Así que comenzó a pensar que los humanos no solo son traviesos, sino también estúpidos.","Угроза от орды зомби исчезла. И война между человеком и зомби началась снова. Но в этот раз все было несколько иначе. Калан, вождь Орков, все еще считает что люди отвратительны и уничтожают природу. Но он был удивлен что они не осознают то, что наносят вред природе. Поэтому Калан начал считать людей не только отвратительными, но и тупыми."
stage title story 1_1,Khalan was taking a walk in the dawn. During the walk` he found few Orcs that acts weird. Some of them seem surprised to see Khalan. And some of them was hiding behind the trees. They looked like Human rangers who hunt Orcs. And finally he witnessed weird Orcs attacking other Orcs. Khalan was furious about what happened in front of his eyes. So he decided to terminate the Orcs who attacked its own family.,아침 산책 중이던 칼란에게 수상한 행동을 하는 오크들이 눈에 띄었다. 어떤 오크는 칼란과 마주쳤을 때 놀라서 도망가는 오크도 있었고 오크들만 다니는 길목에 잠복해있는 오크들도 있었다. 마치 그들이 동족인 오크를 사냥하려는 것처럼. 이내 칼란은 동족을 공격하는 오크를 목격한다. 분노에 찬 칼란은 동족에게 무기를 든 오크들의 전부 잡으라는 명령을 내린다.,Khalan estaba dando un paseo al amanecer. Durante la caminata 'encontró pocos orcos que actúan de manera extraña. Algunos de ellos parecen sorprendidos de ver a Khalan. Y algunos de ellos se escondían detrás de los árboles. Parecían los rangers humanos que cazan orcos. Y finalmente fue testigo de extraños orcos atacando a otros orcos. Khalan estaba furioso por lo que pasó frente a sus ojos. Así que decidió acabar con los orcos que atacaron a su propia familia.,"Калан прогуливался на рассвете. Во время этого он заметил несколько подозрительно ведущих себя орков. Некоторые из них были удивлены видеть Калана. А некоторые из них прятались за деревьями. Как будто они охотились на своих собственных орков. И наконец Калан становится свидетелем нападения странных орков на других орков. Калан в гневе приказывает уничтожить орков, которые напали на свою собственную семью."
stage title story 1_2,Khalan was scouting for a new outpost. And he found something strange. Human workers are carrying lumbers to the Orcs HQ. That was not possible. Because Orcs have a rule that they do not slave human being. Captured Human being were either killed or released. What happend?,칼란은 전진 기지 배치를 위해 정찰을 가고 있었다. 그런데 그곳에서 이상한 휴먼을 발견하였다. 일꾼들이 나무를 베어 오크의 움막으로 들어가는게 아닌가? 칼란은 두 눈을 의심했다. 인간이 오크를 위해 일한다는 건 있을 수 없는 일이기 때문이다. 오크는 휴먼을 잡으면 판결을 내려 나쁜 휴먼은 죽이고 그렇지 않는 휴먼은 풀어주는 것이 규율이 있었기 때문이다. 도대체 무슨일일까?,Khalan estaba buscando un nuevo puesto de avanzada. Y encontró algo extraño. Los trabajadores humanos están transportando madera a la sede de los Orcos. Eso no fue posible. Porque los orcos tienen una regla que no esclavizan al ser humano. Ser humano capturado fue asesinado o puesto en libertad. ¿Lo que pasó?,Калан разведывал место для нового аванпоста. И он обнаружил там что-то странное. Человеческие рабочие несли древесину в хижины орков.Это было невозможно. У орков было правило не держать в рабстве людей. Захваченных людей или убивали или отпускали. Что же произошло?
stage title story 1_3,Before his heart calmed down from Orcs who attack its own family` a strange Human approached to him. His name was Justin. He said that there are Humans who do not like other Humans who destroyed the forest. So he wanted Khalan to help Justin’s army to attack the mean Humans. But Khalan did not believe it. And he kicked him out.,동족을 공격하는 오크에게 놀란 가슴이 진정되기도 전에 이상한 휴먼이 칼란에게 다가왔다. 그는 자신을 저스틴이라 소개했다. 자연을 해치는 인간들에게 반기를 든 인간들이 있다며 오크에게 동맹을 요청하였다. 칼란은 저스틴이 자신을 속이려는 수작이라 생각하고 저스틴을 겁주어 내쫒았다. 이상한 일들이 자꾸 생기자 칼란의 머리속은 복잡해졌다.,"Antes de que su corazón se calmara de los orcos que atacan a su propia familia, un humano extraño se le acercó. Su nombre era Justin. Dijo que hay humanos a quienes no les gustan otros humanos que destruyeron el bosque. Así que quería que Khalan ayudara al ejército de Justin a atacar a los humanos humildes. Pero Khalan no lo creyó. Y él lo echó.","Не успел Калан оправится от орков, напавших на его собственных людей, как к нему пришел странный человек. Его имя было Джастин. Он рассказал, что есть люди которые восстали против людей, которые наносят вред природе. И он хотел, чтобы Калан помог его армии напасть на злых людей. Но Калан не поверил этому и выгнал его."
stage title story 1_4,A threat from a horde of zombies vanished. But that did not mean that all zombies are distinguished. That is impossible. And Khalan had to fight against those zombies` too. And he knows how.,거대 좀비의 위협은 없어졌지만 모든 좀비들이 사라진건 아니었다. 소수의 좀비들은 어디서나 발생하였다. 그러다 조금 큰 무리의 좀비들도 생겨나기 시작했다. 꽤 넓은 지역을 오가는 칼란 역시 그것들과 마주할 수 밖에 없었다.,Una amenaza de una horda de zombies desapareció. Pero eso no significaba que todos los zombies fueran distinguidos. Eso es imposible. Y Khalan tuvo que luchar contra esos zombies también. Y él sabe cómo.,"Угроза орды зомби исчезла, но это не означало, что все зомби исчезли. Это невозможно. И Калану пришлось бороться с этими зомби тоже. И он знал как это сделать."
