key,english,korean,italian,russian,spanish,french,german,turkish,japanese,pt
your rank,My rank,내 순위,Il mio rango,Мой ранг,Mi rango,Mon rang,Dein Rang,Sıralamam,ランク,meu nível
purchase success,PURCHASE COMPLETE,구매 완료,ACQUISTO COMPLETATO,УСПЕШНАЯ ПОКУПКА,COMPRA REALIZADA,ACHAT TERMINÉ,KAUF ABGESCHLOSSEN,SATIN-ALIM TAMAMLANDI,購入完了,compra completa
colosseum,ARENA,아레나,ARENA,КОЛИЗЕЙ,COLISEO,COLISÉE,ARENA,ARENA,アリーナ,arena
top,TOP,상위,TOP,TOП,TOP,TOP,TOP,ZİRVE,上位,Top
video not available,Video is not available now,광고가 준비되지 않았습니다,Il video non è al momento disponibile,Видео сейчас недоступно.,El video no está disponible,La vidéo n'est pas disponible,Video momentan nicht verfügbar,Video mevcut değil.,ビデオは現在使用できません。,vídeo não esta disponível de momento
ticket received,You received a golden ticket.,티켓이 지급되었습니다.,Hai ricevuto un biglietto d'oro,Вы получили золотой билет.,Has recibido un ticket dorado,Vous avez reçu un ticket doré,Du hast ein goldenes Ticker erhalten.,Bir altın bilet kazandın.,チケットが配布されました。,recebeu o bilhete de ouro
battle,Battle,배틀,Battaglia,Битва,BATALLA,Bataille,Schlacht,Savaş,バトル,batalha
food provide,Provide food,음식 제공,Fornisci cibo,Прокормить,Proveer alimentos,Nourri,Nahrung anbieten,Yiyecek sağla,食べ物を提供,dar comida
BEGINNER,BEGINNER,비기너,PRINCIPIANTE,НОВИЧОК,PRINCIPIANTE,DÉBUTANT,ANFÄNGER,ACEMİ,初心者,Iniciante
BRONZE,BRONZE,브론즈,BRONZO,БРОНЗА,BRONCE,BRONZE,BRONZE,BRONZ,ブロンズ,bronze
SILVER,SILVER,실버,ARGENTO,СЕРЕБРО,PLATA,ARGENT,SILBER,GÜMÜŞ,シルバー,prata
GOLD,GOLD,골드,ORO,ЗОЛОТО,ORO,OR,GOLD,ALTIN,ゴールド,ouro
PLATINUM,PLATINUM,플래티넘,PLATINO,ПЛАТИНА,PLATINO,PLATINE,PLATIN,PLATİN,プラチナム,platina
DIAMOND,DIAMOND,다이아몬드,DIAMANTE,АЛМАЗ,DIAMANTE,DIAMANT,DIAMANT,ELMAS,ダイアモンド,diamante
MASTER,MASTER,마스터,MAESTRO,МАСТЕР,MAESTRO,MAÎTRE,MEISTER,USTA,マスター,mestre
GRAND MASTER,GRAND MASTER,그랜드 마스터,MAESTRO SUPREMO,ВЛАСТИТЕЛЬ,GRAN MAESTRO,GRAND MAÎTRE,GROẞMEISTER,BÜYÜK ÜSTAT,グランドマスター,grande mestre
LEGENDARY,LEGENDARY,전설,LEGGENDARIO,ЛЕГЕНДА,LEYENDA,LÉGENDAIRE,LEGENDÄR,EFSANEVİ,レジェンド,legendário
congratulations,Congratulations,축하합니다,Complimenti,Поздравляем,Enhorabuena,Félicitations,Gratulation,Tebrikler,おめでとう！,parabéns
ask email,Questions,문의,Domande,Вопросы,Questions,Questions,Fragen,Sorular,質問,questões
chapter,Chapter,챕터,Capitolo,Глава,Capítulo,Chapitre,Kapitel,Bölüm,チャプター,capitulo
castle desc,HQ of the army. Workers can be trained in this building.,군대 본부. 이 건물에서 일꾼들이 훈련합니다.,Quartier generale dell'armata. In questo edificio si possono allenare i lavoratori.,Штаб армии. Здесь можно развивать рабочих.,Cuartel general del ejército. Los trabajadores pueden ser producidos en este edificio.,QG de l'armée. Sert à recruter des ouvriers.,Hauptquartier der Armee. Soldaten können hier trainiert werden.,Ordunun karargâhıdır. İşçiler bu binada eğitilir,軍隊の本部。この建物でワーカーが訓練をします。,quartel do exército. Os trabalhadores podem ser treinados neste edifício.
barbecue desc,This is where Orcs providing food for their troop.,오크가 자신의 부대를 위해 음식을 제공하는 곳이다.,Qui è dove gli orchi forniscono il cibo alle loro truppe.,Здесь Орки кормят едой свои войска.,Aquí es donde proporcionando Orcos alimento para sus tropas.,C'est ici que les Orcs produisent la nourriture pour leurs troupes.,Das ist wo die Orks Essen für ihre Truppen produzieren.,Burada Orklar birlikleri için yiyecek sağlarlar,オークが自軍に料理を提供する場所です。,aqui é onde os Orcs criam a comida para os seu guerreiros
temple desc,Wizards are trained here. Do not try to get on the stage without permission.,마법사는 여기서 훈련받을 수 있습니다. 허락없이 들어 가려고하지 마십시오.,Qui vengono allenati i maghi. Non provare ad entrare senza il permesso.,Здесь обучаются Колдуны. Не пытайтесь попасть туда без разрешения.,Los magos pueden ser entrenados aquí. No trates de entrar sin permiso.,Les mages sont entraînés dans ce bâtiment.,Zauberer werden hier ausgebildet. Versuch bloß nicht sie ohne Erlaubniss zu besuchen.,Burada Büyücüler eğitilir. İzin olmadan bölüme girmeyi deneme.,魔術師はここで訓練をします。勝手に入るのはやめてください。,Os magos são treinados aqui. Não tente subir ao palco sem permissão.
farm desc,Farm produces food. More food = More soldiers.,농장에서 음식을 생산합니다. 더 많은 군인을 모으기 위해 더 많은 음식을 준비하십시오.,La fattoria produce il cibo. Più cibo = Più soldati.,Ферма предоставляет еду. Больше еды - больше солдат.,La granja produce alimentos. Preparar más comida para reunir más soldados.,Les fermes produisent de la nourriture. Plus de nourritures = plus de soldats.,Farm produziert Nahrung. Mehr Essen = mehr Soldaten.,Çiftlik yiyecek üretir. Ne kadar çok yiyecek = O kadar çok asker.,農場では食べ物を作ります。多くの兵士を集めるためには食べ物もたくさん用意してください。,Quintas produzem comida. Mais comida = Mais soldados
barracks desc,Soldiers can be upgraded in this building.,군인은이 건물에서 업그레이드 할 수 있습니다.,I soldati possono essere potenziati in questo edificio.,Здесь можно развивать солдат.,Los soldados pueden ser actualizados en este edificio.,Les soldats peuvent être améliorés dans ce bâtiment.,Soldaten können in diesem Gebäude aufgerüstet werden.,Askerler bu binadan geliştirilebilir.,兵士はここでアップグレードできます。,Soldados podem ser melhorados neste edifício
underground bunker desc,Defense forces are hidden in this bunker until a flare is triggered.,신호탄이 켜질때까지 이 벙커에 방어 병력이 숨겨져 있습니다.,Le forze di difesa sono nascoste in questo bunker finchè non viene acceso un segnale d'allarme.,"Сила обороны скрыта в этом бункере, пока не сработает вспышка.",La fuerza de defensa se oculta en este búnker hasta que se activó una bengala.,Les forces de défense se cachent dans ce bunker jusqu'à la réception un signal,"Verteidigungskräfte werden in diesem Bunker versteckt, bis ein Aufflackern ausgelöst wird.","Savunma güçleri, bir işaret fişeği ateşlenene dek bu sığınakta gizlenirler.",信号弾が打ち上げられるまでパンか―には防衛兵士が隠れて待機します。,As forças de defesa estão escondidas neste bunker até que um sinal seja acionado.
trigger desc,Defense force will come out from underground bunkers when this flare is triggered.,이 플레어가 발동되면 지하 벙커에서 방어 병력이 나옵니다.,Le forze di difesa usciranno fuori non appena questo segnale viene acceso.,"Сила обороны появится из подземного бункера, когда эта вспышка будет запущена.",La fuerza de defensa saldrá de búnkeres subterráneos cuando se active esta bengala.,Les forces de défense sortiront des bunkers souterrains à la réception du signal.,"Defense Force wird aus unterirdischen Bunkern kommen, wenn diese Fackel ausgelöst wird.","Savunma güçleri; işaret fişeği ateşlendiğinde, yeraltı sığınaklarından çıkacaktırlar.",信号弾の合図で地下バンカーから防衛兵力が外に出ます。,A força de defesa sairá dos bunkers subterrâneos quando este sinal for acionado.
lumbermill desc,Workers can store lumbers in this building. Processed lumbers from this building is required for building more complicated ones.,노동자는이 건물에 목재를 저장할 수 있습니다. 그리고 이 건물에서 가공 된 목재는 더 복잡한 구조물을 만들기 위해 필요합니다.,In questo edificio i lavoratori possono depositare la legna.,Рабочие будут хранить здесь древесину. Обработанная древесина нужна для более сложных построек.,Los trabajadores pueden almacenar madera en este edificio. Y se requieren troncos procesados de este edificio para construir los más complicados.,Les ouvriers stockent le bois dans ce bâtiment. Le bois sert à construire des bâtiments plus complexes.,Die Arbeiter können in diesem Gebäude lumbers speichern. Verarbeitete lumbers von diesem Gebäude ist erforderlich für die komplizierteren Aufbau.,İşçiler bu binada odun depolayabilir. Bu binada işlenmiş olan odunlar daha karmaşık binalar için gereklidir.,ワーカーはここに木材を保存することができます。そしてここで加工された木材はレベルの高い建物を建てるのに必要な木材となります。,Os trabalhadores podem armazenar madeira neste edifício. Madeira processada deste edifício é necessária para construir outros edifício mais complicados.
watcher tower desc,Watcher tower will attack the intruders.,감시탑은 침입자를 공격 할 수 있습니다.,La torre di avvistamento attaccherà gli intrusi.,Сторожевые башни будут атаковать чужаков.,La torre vigía puede atacar a los intrusos.,Les tours de garde attaquent les intrus.,Watcher Turm wird die Eindringlinge angreifen.,Gözcü Kulesi düşmanlara saldıracaktır.,監視塔は侵入者を攻撃することができます。,torre de vigia atacara imigos
factory desc,Factory produces big units like a Catapult.,공장은 투석기와 같은 큰 유닛을 생산합니다.,"La fabbrica produce unità grosse, come una Catapulta.","Фабрика производит большие ед. оружия, такие как Катапульта.",Fábrica produce grandes unidades como una catapulta.,Les usines produisent des grosses unités comme des catapultes.,Fabrik produziert große Einheiten wie ein Katapult.,Fabrika Mancınık gibi büyük birimleri üretir.,工場は、投石機のような大きいユニットを生産します。,A fabrica produz grande unidades como a catapulta.
airport desc,Helicopters can be trained in this building. They need more skills than just flying.,이 건물에서 헬리콥터를 생산할 수 있습니다. 나는 거 말고 더 공격은 못하나요?,Gli elicotteri possono essere addestrati in questo edificio. Hanno bisogno di più abilità del saper solamente volare.,Здесь можно развивать Вертолётчиков.,Se pueden producir helicópteros en este edificio. Necesitan más poder que solo volar.,Vous pouvez fabriquer des hélicoptères dans ce bâtiment. Il faut savoir faire plus que voler pour piloter un hélicoptère.,Hubschrauber können in diesem Gebäude trainiert werden. Sie brauchen mehr Fähigkeiten als nur fliegen.,"Bu binadan Helikopterler üretilebilir. Onların, uçmaktan daha fazlasına ihtiyaçları var.",ここではヘリコプターを生産します。ヘリコプターは飛ぶ以外何もできません。,Helicópteros podem ser treinados neste prédio. Eles precisam de mais habilidades do que apenas voar.
mine desc,You can dig for gold in a gold mine.,금광에서 금을 파낼 수 있습니다.,Puoi scavare in cerca dell'oro nella miniera d'oro.,Добывайте золото в Золотой Шахте.,Puedes excavar en busca de oro en una mina de oro.,Vous pouvez récolter de l'or dans une mine.,Sie können nach Gold in einer Goldmine graben.,Bir altın madeninden altın çıkarabilirsin.,鉱山でゴールドを採掘することができます。,Pode procurar por ouro na mina de ouro.
orc hq desc,Orc's patriarch is staying here.,오크의 족장이 이곳에 머물러 있다,Il patriarca degli orchi risiede qui.,Старший Орк остаётся здесь.,El anciano de Orc se queda aquí.,Le patriarche Orc vit ici.,Orc des Patriarchen ist hier zu bleiben.,Ork'ların reisi burada duruyor.,オークの族長がいる場所です。,O patriarca Orc esta alojado aqui
orc barracks desc,It is the place to train Orc troops.,오크의 병력들을 훈련시키는 곳입니다.,Questo è ilk posto giusto per addestrare le truppe degli Orchi.,Здесь готовятся войска Орков.,It is the place to train Orc troops.,Cet endroit sert à entraîner des troupes d'Orcs,"Es ist der Ort, an Orc Truppen zu trainieren.",Burası Ork birliklerinin eğitim yeridir.,オークの兵士たちが訓練します。,este é o sito onde a tropa Orc é treinada
orc bunker desc,Orc arrows fly from here. None of the humans who entered this place survived.,오크의 화살이 이곳에서 날아옵니다. 이 안에 들어간 휴먼은 누구도 살아나오지 못했습니다.,Le frecce degli orchi partono da questo punto. Nessun umano ad essere entrato in questo posto è sopravvissuto.,Стрелы Орков летят отсюда. Ещё никто из людей не выжил в этом месте.,Las flechas orcas vuelan desde aquí. Ninguno de los humanos que entraron a este lugar sobrevivió.,Les flèches des Orcs viennent de là. Aucun Humain n'en est revenu vivant.,"Orc Pfeile fliegen von hier. Keiner der Menschen, die diesen Ort eingegeben überlebt.",Ork okları buradan atılır. Buraya giren hiçbir insan sağ kalamaz.,オークの矢はここから放たれます。ここに入ってしまったヒューマンが生きて出られることはありません。,Flexas Ocs voam daqui. Nenhum humano que aqui entrou sobreviveu
orc troll house desc,A house where a cowardly troll is living.,겁쟁이 덩치 트롤이 살고 있는 집입니다.,Una casa im cui vive un troll codardo.,В этом доме живёт трусливый тролль.,Una casa donde vive un troll cobarde.,Une maison où un Troll peureux vit.,Ein Haus in dem ein feiger Troll lebt.,"Burası, Ödlek bir trollün yaşadığı evdir.",臆病なトロールが住んでいます。,uma casa onde um Orc covarde vive.
worker desc,Workers gather gold and lumbers.,노동자들은 금과 목재를 수집합니다.,I lavoratori raccolgono cibo e legna.,Рабочие собирают золото и древесину.,Los trabajadores recogen oro y madera.,Les ouvriers récoltent de l'or et du bois.,Arbeiter sammeln Gold und lumbers.,İşçiler altın ve odun toplar.,ワーカーはゴールドと木材を採集します。,Trabalhadores juntam ouro e madeira.
swordman desc,A swordman is a noble warrior who is fast and strong.,검객은 빠르고 강인한 고귀한 전사입니다.,Uno spadaccino è un nobile guerriero dalla spiccata velocità e forza.,"Мечник - благородный воин, он быстр и силён.",Espadachín es noble guerrero que es rápido y fuerte.,"Les épéistes sont de nobles guerriers, rapides et forts.","Ein swordman ist ein edler Krieger, der schnell und stark ist.","Bir silahtar; ki o hızlı ve güçlüdür, asil bir savaşçıdır.",剣士は早くて強い戦士です。,Um espadachim é um nobre guerreiro rápido e forte.
archer desc,Archers can attack enemies who are in long distance.,궁수는 원거리에있는 적을 공격 할 수있다.,Gli arcieri possono attaccare i nemici a lunga distanza.,"Лучник способен атаковать врагов, расположенных на большом расстоянии.",Los arqueros pueden atacar a los enemigos que están en larga distancia.,Les archers permettent d'attaquer des ennemis à distance.,"Archers können Feinde angreifen, die in langer Strecke sind.",Okçular uzak mesafedeki düşmanlara saldırır.,射手は遠くにいる敵を攻撃することができます。,Os arqueiros podem atacar inimigos que estão a longa distância.
wizard desc,Wizards do magic stuff and punish evil.,마법사들은 마법으로 악을 처벌합니다.,I maghi fanno incantesimi e combattono il male.,Колдун наказывает зло своими магическими штучками.,Los magos castigan los males con su magia.,Les mages font des trucs magiques et éradiquent le mal.,Wizards tun magische Sachen und Böse zu bestrafen.,Büyücüler kötüleri cezalandırmak için sihirli şeyler yaparlar,魔法師は魔法で悪を裁きます。,Magos fazem magia e punem os malvados.
helicopter desc,Helicopters can fly and they attack with gravel.,드론병은 비행이 가능하며 자갈을 던저 공격합니다.,Gli elicotteri possono volare e attaccare con ferocia.,"Вертолётчики, как ни странно, летают, а атакуют грудами гравия.",Los helicópteros pueden volar y atacar con grava.,Les hélicoptères volent et attaquent avec du gravier.,Hubschrauber fliegen können und sie greifen mit Kies.,Helikopterler uçabilir ve çakıl ile saldırırlar.,ドローン兵は飛行が可能で、砂利を投げて攻撃します。,Helicópteros voam e atacam com gravilha.
catapult desc,This unit is very slow. But nothing is more powerful than this. Hordes of zombies can only be destroyed by this unit.,이 장치는 매우 느립니다. 그러나 이보다 더 강력한 것은 없습니다. 거대 좀비 무리를 쓸어버릴 수있는 유일한 무기입니다.,Questa unita è molto lenta. Ma niente è più potente. Le orde di zombie possono essere distrutte solo da loro.,"Очень медленная, но достаточно мощная, чтобы разрывать зомби на куски.",Esta unidad es muy lenta. Pero nada es más poderoso que esto. La horda de zombies solo puede ser destruida por este.,"Cet unité est très lente, mais c'est aussi la plus puissante. C'est la seule arme qui permet de vaincre des hordes de zombies.",Dieses Gerät ist sehr langsam. Aber nichts ist mächtiger als diese. Horden von Zombies können nur von diesem Gerät zerstört werden.,"Bu birim çok yavaştır. Ancak, Hiçbir şey bundan daha güçlü değildir. Zombi sürüleri yalnızca bu birim tarafından yok edilebilir.",このユニットは非常に遅いです。しかしどのユニットよりも強力な武器です。大きいゾンビ軍を退治できる唯一の武器でもあります。,Esta unidade é muito lenta. Mas nada é mais poderoso do que isso. Hordas de mortos vivos só podem ser destruídas por esta unidade.
orc worker desc,Goblin gathers gold and lumber for Orcs.,고블린은 오크 위해 금과 목재를 수집합니다.,I goblin raccolgono l'oro e la legna per gli orchi.,Гоблин собирает золото и древесину для Орков.,Goblin recoge el oro y la madera para Orcos.,Les Goblins récoltent de l'or et du bois pour les Orcs.,Goblin sammelt Gold und Holz für Orcs.,"Goblinler, Orklar için altın ve odun toplarlar.",ゴブリンはオークのためにゴールドと木材を採集します。,Goblins recolhem ouro e madeira para os Orcs
goblin desc,GOBLINs are fast and very greedy.,고블린은 빠르고 매우 욕심이 있습니다.,i goblin sono veloci e molto avidi.,"Гоблины быстрые и очень жадные, я вас предупредил.",Los goblins son rápidos y muy codicioso.,Les Goblins sont rapides et très avides.,Kobolde sind schnell und sehr gierig.,GOBLİN'ler hızlı ve hırslıdır.,ゴブリンは早くて欲張りです。,GOBLINS são muito rápidos e muito gananciosos
goblin bomb desc,They are carrying a bomb that can blow everything.,그들은 모든 것을 날려 버릴 수 있는 폭탄을 운반하고 있습니다.,Portano con sè una bomba che può spazzare via tutto.,"У них бомба, способная всё уничтожить.",Están llevando a una bomba que puede estallar todo.,Ils transportent une bombe qui peut tout faire exploser.,"Sie tragen eine Bombe, die alles blasen kann.","Bunlar, her şeyi patlatabilecek bir bomba taşırlar.",彼らはすべてを吹き飛ばせるほど強力な爆弾を運んでいます。,"Eles podem transportar uma bomba, que da cabo de tudo"
orc axe desc,An orc's axe is very dangerous.,오크의 도끼는 매우 위험합니다.,Un'ascia di un orco può essere molto pericolosa.,Топор орка очень опасен.,hacha de un orco es muy peligroso.,La hâche d'un Orc est très dangereuse.,Ein Orc Axt ist sehr gefährlich.,Bir orkun baltası çok tehlikelidir.,オークの斧は非常に危険です。,Um machado Orc é muito perigoso.
orc spear desc,An orc's spear can fly like a bullet.,오크의 창은 총알처럼 날 수 있습니다.,Una lancia di un orco può volare come un missile.,Копьё орка летит со скоростью пули.,La lanza de un orco puede volar como una bala.,La lance d'un Orc vole comme une balle.,AN Speer des Orks kann wie eine Kugel fliegen.,Bir orkun mızrağı mermi gibi gider.,オークの槍は弾のように飛びます。,Uma lança Orc pode voar como uma bala
troll desc,Troll is very heavy and slow.,트롤은 매우 무겁고 느리다.,Il troll è molto pesante e lento.,Тролль идёт тяжело и медленно.,Troll es muy pesado y lento.,Les trolls sont très lourds et lents.,Troll ist sehr schwer und langsam.,Troll'ler çok ağır ve yavaştır.,トロールは遅くて大きいです。,Troll é muito pesado e lento.
zombie orc axe desc,Once dead men never die.,일단 죽은 사람은 죽지 않는다.,Una volta morti gli uomini non possono più morire.,Однажды мёртвые перестанут умерать...,Una vez que los muertos nunca mueren.,"Une fois morts, les hommes ne meurent plus.",Sobald tote Männer sterben nie.,Ölü adam birdaha ölmez.,一度死んだ人は二度死なない。,Uma vez mortos os homens não morrem
zombie swordman desc,Do you think they can die again?,당신은 그들이 다시 죽을 수 있다고 생각하십니까?,Pensi che possano morire ancora?,"Как думаете, они могут умереть ещё раз?",Qué cree que puede volver a morir?,Vous pensez qu'ils peuvent encore mourir ?,"Glaubst du, sie wieder sterben können?",Tekrardan öleceklerini mi sanıyorsun?,あなたは彼らが再び死ねると思いますか？,Acha que eles podem morrer outra vez
zombie orc axe,Infected orc warrior,감염된 오크 전사,Guerriero orco infetto,Орков-воинов заражено,guerrero orco infectada,Guerrier Orc infecté,Infizierte Ork Krieger,COVID-19'lu ORK SAVAŞÇI,感染したオーク戦士,guerreio Orc infetado
zombie swordman,Infected human,감염된 사람,Umano infetto,Людей заражено,infectada humana,Humain infecté,infizierten Menschen,COVID-19'lu İNSAN SAVAŞÇI,感染したヒューマン,Humano infetado
hero orc desc,A leader of Orc must be able to defeat a troll with his bare hands.,오크의 지도자는 그의 맨손으로 트롤을 물리 칠 수 있어야합니다.,Questo capo degli Orchi è in grado di sconfiggere un troll a mani nude.,"Только тот, кто одолел тролля голыми руками, сможет возглавить отряд Орков.",Un líder de Orco debe ser capaz de derrotar a un trol con sus propias manos.,Un chef d'Orc doit être capable de vaincre un troll avec ses mains nues.,"Ein Führer von Orc muss in der Lage sein, einen Troll mit seinen bloßen Händen zu besiegen.","Bir Ork lideri, bir trollü tek eliyle devirebilmelidir.",オークの指導者は武器なしでトロールを倒さなければなりません。,O líder dos Orcs deve ser capaz de derrotar um Troll só com as mãos.
hero goblin desc,A goblin king can make a fireball.,고블린 킹은 파이어볼을 시전할 수 있습니다.,Questo re dei goblin può lanciare palle di fuoco.,Король гоблинов создаёт огненные снаряды.,Un rey duende puede hacer una bola de fuego.,Un roi gobelin peut faire une boule de feu.,Ein Kobold König kann einen Feuerball machen.,Goblin kralı bir ateş topu atabilir.,ゴブリンのキングはファイヤボールを使うことができます。,O rei Goblin consegue fazer uma bola de fogo.
hero archer desc,This archer can shoot 4 arrows at once.,아처 영웅은 한 번에 4개의 화살을 쏠 수 있다고 합니다.,Questo arciere può sparare 4 frecce alla volta.,Этот лучник атакует четырьмя стрелами сразу.,Este arquero puede disparar 4 flechas a la vez.,Cet archer peut tirer 4 flèches à la fois.,Dieser Bogenschütze kann auf einmal 4 Pfeile schießen.,Bu okçu tek seferde 4 ok atabilir.,アーチャーヒーローは、一度に4本の矢を放つことができると言われています。,este arqueiro pode disparar 4 setas de uma só vez
hero werewolf desc,A human being with wolf claws is more dangerous than a beast.,늑대 발톱을 가진 인간은 짐승보다 더 위험하다.,Questo essere umano con artigli di lupo è più letale di una bestia.,Человек с волчьими когтями опаснее любого зверя.,Un ser humano con garras de lobo es más peligroso que una bestia.,Un être humain avec des griffes de loup est plus dangereux qu'une bête.,Ein Mensch mit Wolf Krallen ist gefährlicher als ein Tier.,"Kurt pençeli bir insanımsı, bir mahlukattan daha tehlikelidir.",狼の爪を持つ人間は獣よりも危険だ。,um humano com garras de lobo é mais perigoso que o animal
hero spearman desc,This spearman can peel the apple with his weapon.,이 창병은 자신의 무기로 사과를 깎을 수 있습니다.,Questo arpionista può pelare una mela solo con l'uso delle sue armi.,Этот копьеносец чистит яблоки своим оружием.,Este Spearman puede pelar la manzana con su arma.,Ce Spearman peut peler la pomme avec son arme.,Diese spearman kann den Apfel mit seiner Waffe schälen.,Bu mızrakçı silahıyla bir elmayı bile soyabilir.,この槍兵は自身の武器でリンゴをむくことができます。,Este lanceiro pode descascar a maçã com sua arma.
hero lizardman desc,A thousand year old lizard can use a weapon.,천년 묵은 도마뱀은 무기를 사용할 수 있습니다,Questa lucertola millenaria è in grado di usare le armi.,Вот уже тысячу лет древние ящерицы пользуются оружием. Наверняка у них не мало опыта.,Un viejo lagarto mil años puede usar un arma.,Un lézard vieux de mille ans peut utiliser une arme.,Eine tausend Jahre alte Echse kann eine Waffe benutzen.,Silah kullanan bin yaşında bir kertenkele.,1000年もの間生きてきたトカゲは、武器を使うことができます。,Lagarto com mil anos que consegue utilizar uma arma
hero monk desc,"Monks of training the mind. However, healthy mind comes from a healthy body. Their martial arts are decent.",마음을 수련하는 수도승. 그러나 건강한 정신은 건강한 몸에서 나온다. 그들의 무술은 수준급이다.,I monaci che allenano mente e corpo. Mens sana in corpore sano.,"Монахи контролируют разум. В здоровом теле здоровый дух, говорили они. Да, монахи и правда мудры.","Monjes de entrenamiento de la mente. Sin embargo, la mente sana proviene de un cuerpo sano. Sus artes marciales son decentes.","Les moines de formation de l'esprit. Cependant, l'esprit sain vient d'un corps sain. Leurs arts martiaux sont décents.",Mönche von dem Geist zu trainieren. Allerdings gesunder Geist kommt von einem gesunden Körper. Ihre Kampfkunst ist anständig.,"Monklar zihinlerini eğitir. bununla birlikte, sağlam kafa sağlam vücutta bulunur. Onların dövüş sanatı iyidir, güzeldir.",精神を鍛練する修道士。しかし健全な精神は健全な肉体に宿ると言う。彼らは武術にも長けている。,"Monges  treinam a mente. No entanto, a mente sã vem de um corpo são. Suas artes marciais são decentes."
hero fighter desc,He is musulga polishing the martial arts. He is currently training kick.,그는 무술을 연마하는 무술가이다. 현재는 발차기를 수련하고 있다.,"Lui è musulga, colui che ha affinato le arti marziali. Ora si dedica ad allenare i calci.","Силён, полируя свои боевые искусства. Тренируется и по сей день.",Él es musulga pulir las artes marciales. Está entrenando actualmente patada.,Il est musulga polir les arts martiaux. Il est actuellement en formation coup.,Er ist musulga die Kampfkünste zu polieren. Er trainiert zurzeit rein.,"O musulga, dövüş sanatlarının perdahıdır. şu sıralar tekme üzerine çalışıyor.",彼は武術を錬磨する武道家だ。現在は蹴り技を修練している。,Ele é praticante das artes marciais. Ele está atualmente treinando chute.
hero bear desc,Shaman can borrow the power of Bear. He became a bear because he could not bear the strength of a bear.,곰의 힘을 빌릴 수 있는 주술이 있다. 그 힘을 견디지 못하는 자는 곰이 되고 만다.,Questo sciamano può prendere la forza di un Orso. Non fatevi ingannare dall'apparenza.,"Шаман заимствует силу Медведя. Он становится медведем потому, что он поклонник его мощи.","Chamán puede tomar prestado el poder de oso. Se convirtió en un oso, porque no podía soportar la fuerza de un oso.",Chaman peut emprunter la puissance de l'ours. Il est devenu un ours parce qu'il ne pouvait pas supporter la force d'un ours.,"Schamane kann die Kraft des Bären leihen. Er wurde einen Bären, weil er nicht die Kraft eines Bären ertragen konnte.",Şaman Ayının gücünü alabilir. Bir ayıya dönüştüğünde bir ayının gücüne dayanamaz ---TRANSLATİON WİLL BE CONTINUE---,熊の強き力を宿らせる呪術がある。その力に耐えられなければ熊になってしまう。,O Shaman pode invocar o poder do Urso. Ele tornou se um Urso porque não conseguia suportar a força de um urso.
hero healer desc,Fast healing magic can heal wounds. An essential forces that must be involved in the battle.,치료 마법으로 빠르게 상처를 치료할 수 있다. 전투에 반드시 참여해야 하는 필수 병력이다.,La sua magia è in grado di curare qualsiasi ferita. Non può certamente mancare in battaglia.,"Скорая магия исцеления. Один из ключевых ""тузов"" в любом бою.",la magia de curación rápida puede curar heridas. Se fuerzas esenciales que deben estar involucrados en la batalla.,la magie de guérison rapide peut guérir les blessures. Une des forces essentielles qui doivent être impliqués dans la bataille.,"Schnelle Heilung Magie kann Wunden heilen. Eine wesentliche Kräfte, die in der Schlacht beteiligt werden müssen.","Hızlı iyileştiren büyü, yaraları iyileştirebilir. Bir savaşta olması gereken temel birliklerdir.",治癒魔法で素早く傷を治療することができる。戦闘時には必須兵力となる。,A magia de cura rápida pode curar feridas. Uma força essencial que deve estar envolvida na batalha.
hero knight desc,They are strong. It pulls the morale of the soldiers. Their existence itself is a large force of war.,그들은 강하다. 그것이 병사들의 사기를 끌어올린다. 그들의 존재 자체가 전쟁의 큰 힘이 된다.,I cavalieri sono forti e valorosi. Inoltre alzano il morale dei soldati durante la guerra.,"Большая сила. Военная мощь, мотивирующая других воинов. Да тут от одного взгляда на них можно отложить что не нужно.",Son fuertes. Se tira de la moral de los soldados. Su existencia en sí es una gran fuerza de guerra.,Ils sont forts. Il tire le moral des soldats. Leur existence elle-même est une grande force de la guerre.,Sie sind stark. Er zieht die Moral der Soldaten. Ihre Existenz selbst ist eine große Kraft des Krieges.,Güçlüdürler. Askerlerin morallerini yükseltirler. Onlar varlığı savaşın gidişatını değiştirir.,彼らは強い。それが兵士たちの士気を高めてくれる。彼らの存在は戦争で大きな力となる。,Eles são fortes. Isso puxa pela moral dos soldados. A sua própria existência é uma grande força de guerra.
