key,english,korean,italian,russian,spanish,french,german,turkish,japanese,pt
stage title story 0_9,"Adun's army, having narrowly escaped the crisis with Brook's help, won the battle of that day. However, the battle against Gulzar, who had prepared extensively, resulted in the deaths of many soldiers. Adun devised a strategy to win the next battle with fewer casualties. As part of this strategy, Noah and a small elite force decided to cut off the supply lines leading to Gulzar's army. But what on earth happened? Why was Gulzar's main force waiting for Noah here?",브룩의 도움으로 간신히 위기를 모면한 아둔의 군대는 그날의 전투를 승리로 이끌었다. 하지만 많은 준비를 한 굴자르와의 전투는 많은 병사들의 죽음으로 이어졌다. 아둔은 조금 더 적은 피해로 다음 전투를 이기기 위한 전략을 세웠다. 그 전략의 일환으로 노아와 소수 정예 병력이 굴자르의 군대로 향하는 보급책을 끊기로 했다. 그런데 이게 왠일인가? 어째서 굴자르의 본대가 이곳에서 노아를 기다리고 있었던 것일까?,"L'esercito di Adun, scampato per un pelo alla crisi grazie all'aiuto di Brook, vinse la battaglia di quel giorno. Tuttavia, lo scontro con Gulzar, che si era preparato a lungo, causò la morte di molti soldati. Adun elaborò una strategia per vincere la battaglia successiva con meno perdite. Come parte di questa strategia, Noah e una piccola forza d'élite decisero di tagliare le linee di rifornimento dell'esercito di Gulzar. Ma cosa diavolo accadde? Perché il grosso delle forze di Gulzar stava aspettando Noah proprio lì?","Армия Адуна, чудом избежавшая кризиса благодаря помощи Брука, одержала победу в битве того дня. Однако битва против Гулзара, который тщательно подготовился, привела к гибели многих солдат. Адун разработал стратегию, чтобы выиграть следующую битву с меньшими потерями. В рамках этой стратегии Ной и небольшой элитный отряд решили перерезать линии снабжения, ведущие к армии Гулзара. Но что же произошло? Почему основные силы Гулзара ждали Ноя здесь?","El ejército de Adun, tras escapar por poco de la crisis gracias a la ayuda de Brook, ganó la batalla de ese día. Sin embargo, la batalla contra Gulzar, quien se había preparado exhaustivamente, resultó en la muerte de muchos soldados. Adun ideó una estrategia para ganar la siguiente batalla con menos bajas. Como parte de esta estrategia, Noé y una pequeña fuerza de élite decidieron cortar las líneas de suministro que abastecían al ejército de Gulzar. Pero, ¿qué sucedió? ¿Por qué la fuerza principal de Gulzar estaba esperando a Noé allí?","L'armée d'Adun, ayant échappé de justesse à la crise grâce à l'aide de Brook, remporta la bataille du jour. Cependant, l'affrontement contre Gulzar, qui s'était longuement préparé, entraîna la mort de nombreux soldats. Adun conçut alors une stratégie pour remporter la prochaine bataille avec moins de pertes. Dans le cadre de cette stratégie, Noah et une petite force d'élite décidèrent de couper les lignes de ravitaillement de l'armée de Gulzar. Mais que se passa-t-il donc ? Pourquoi les forces principales de Gulzar attendaient-elles Noah à cet endroit ?","Aduns Armee, die dank Brooks Hilfe der Krise nur knapp entgangen war, gewann die Schlacht des Tages. Der Kampf gegen Gulzar, der sich umfassend vorbereitet hatte, forderte jedoch viele Tote. Adun entwickelte eine Strategie, um die nächste Schlacht mit weniger Verlusten zu gewinnen. Im Rahmen dieser Strategie beschloss Noah mit einer kleinen Eliteeinheit, die Nachschubwege zu Gulzars Armee abzuschneiden. Doch was war geschehen? Warum wartete Gulzars Hauptstreitmacht hier auf Noah?","Brook'un yardımıyla krizden kıl payı kurtulan Adun'un ordusu o günkü savaşı kazandı. Ancak, kapsamlı bir hazırlık yapmış olan Gülzar'a karşı yapılan savaşta birçok asker hayatını kaybetti. Adun, bir sonraki savaşı daha az kayıpla kazanmak için bir strateji geliştirdi. Bu stratejinin bir parçası olarak Nuh ve küçük bir seçkin birlik, Gülzar'ın ordusuna giden ikmal hatlarını kesmeye karar verdi. Ama ne oldu? Gülzar'ın ana kuvveti neden burada Nuh'u bekliyordu?",ブルックの助けを借りてようやく危機を集めたアドンの軍隊はその日の戦いを勝利に導いた。しかし、多くの準備をしたグルザールとの戦闘は多くの兵士たちの死につながった。アドンは少し少ないダメージで次の戦いに勝つための戦略を立てた。その戦略の一環として、ノアと少数精鋭兵力がグルザールの軍隊に向かう普及策を切ることにした。しかし、これは何ですか？なんでグルザールの本隊がここでノアを待っていたのだろうか？,"O exército de Adun, tendo escapado por pouco da crise com a ajuda de Brook, venceu a batalha daquele dia. No entanto, a batalha contra Gulzar, que havia se preparado extensivamente, resultou na morte de muitos soldados. Adun elaborou uma estratégia para vencer a próxima batalha com menos baixas. Como parte dessa estratégia, Noah e uma pequena força de elite decidiram cortar as linhas de suprimento que levavam ao exército de Gulzar. Mas o que diabos aconteceu? Por que a força principal de Gulzar estava esperando por Noah ali?"
stage title story 0_10,"The shrewd Newman had already imparted to Gulzar the strategy for the upcoming battle. Newman was well aware of Adun. He even knew that Newman frequently employed the strategy of cutting off supply lines during wars. Newman had warned Gulzar in advance that Adun would attempt to cut off their supply lines after fighting a major battle. Just as Newman had advised, Gulzar exposed the supply lines and waited for Adun's small elite force there after the battle. However, Brooke was not part of Newman's plan. And now, he has become the biggest variable, attempting to ruin Newman's plan.",영리한 뉴먼은 굴자르에게 미래에 일어날 전투의 전략까지 전수한 상태였다. 뉴먼은 아둔에 대해 잘 알고 있었다. 뉴먼이 전쟁에서 보급로를 끊는 전략을 자주 사용한다는 것까지 알고 있었다. 뉴먼은 굴자르에게 미리 알려주었다. 아둔이 큰 전투를 치르고 나면 보급로를 끊으려 할 것이라는 것을. 굴자르는 뉴먼이 알려준 대로 보급로를 노출시키고 큰 전투를 치른 후에 그곳에서 아둔의 소수 정예 부대를 기다리고 있었다. 하지만 뉴먼의 계획에 브룩의 존재는 없었다. 그리고 그가 지금 가장 큰 변수가 되어 뉴먼의 계획을 망치려 하고 있다.,"L'astuto Newman aveva già comunicato a Gulzar la strategia per la battaglia imminente. Newman conosceva bene Adun. Sapeva persino che Newman ricorreva spesso alla strategia di tagliare le linee di rifornimento durante le guerre. Newman aveva avvertito Gulzar in anticipo che Adun avrebbe tentato di interrompere i loro rifornimenti dopo una grande battaglia. Proprio come Newman aveva consigliato, Gulzar aveva esposto le linee di rifornimento e atteso lì la piccola forza d'élite di Adun dopo la battaglia. Tuttavia, Brooke non faceva parte del piano di Newman. E ora, è diventato la variabile più importante, tentando di mandare a monte il piano di Newman.","Проницательный Ньюман уже передал Гулзару стратегию предстоящего сражения. Ньюман был хорошо знаком с Адуном. Он даже знал, что Ньюман часто использует стратегию перекрытия линий снабжения во время войн. Ньюман заранее предупредил Гулзара, что Адун попытается перекрыть их линии снабжения после крупного сражения. Как и советовал Ньюман, Гулзар открыл линии снабжения и ждал там небольшой элитный отряд Адуна после битвы. Однако Брук не входил в план Ньюмана. И теперь он стал самой большой помехой, пытаясь сорвать план Ньюмана.","El astuto Newman ya le había transmitido a Gulzar la estrategia para la batalla que se avecinaba. Newman conocía bien a Adun. Incluso sabía que Newman solía emplear la estrategia de cortar las líneas de suministro durante las guerras. Newman le había advertido a Gulzar con antelación que Adun intentaría cortar sus líneas de suministro tras una batalla importante. Tal como Newman le había aconsejado, Gulzar expuso las líneas de suministro y esperó allí a la pequeña fuerza de élite de Adun después de la batalla. Sin embargo, Brooke no formaba parte del plan de Newman. Y ahora, se ha convertido en la mayor incógnita, intentando arruinarlo.","Le perspicace Newman avait déjà révélé à Gulzar la stratégie pour la bataille à venir. Il connaissait bien Adun et savait même qu'il avait souvent recours à la technique de la coupure des lignes de ravitaillement en temps de guerre. Newman avait prévenu Gulzar qu'Adun tenterait de couper leurs lignes de ravitaillement après une bataille majeure. Comme Newman le lui avait conseillé, Gulzar découvrit les lignes de ravitaillement et y attendit la petite force d'élite d'Adun après la bataille. Cependant, Brooke n'était pas prévu au plan de Newman. Et maintenant, il est devenu le principal élément perturbateur, cherchant à faire échouer ses plans.","Der gerissene Newman hatte Gulzar bereits die Strategie für die bevorstehende Schlacht mitgeteilt. Newman kannte Adun genau. Er wusste sogar, dass Newman in Kriegen häufig die Strategie anwandte, die Nachschublinien abzuschneiden. Newman hatte Gulzar im Voraus gewarnt, dass Adun nach einer größeren Schlacht versuchen würde, ihre Nachschublinien zu kappen. Genau wie Newman es geraten hatte, legte Gulzar die Nachschublinien frei und wartete nach der Schlacht dort auf Aduns kleine Eliteeinheit. Brooke war jedoch nicht Teil von Newmans Plan. Und nun ist er zur größten Unbekannten geworden, die versucht, Newmans Plan zu durchkreuzen.","Kurnaz Newman, yaklaşan savaşın stratejisini Gulzar'a çoktan iletmişti. Newman, Adun'u çok iyi tanıyordu. Hatta Adun'un savaşlar sırasında sık sık ikmal hatlarını kesme stratejisini kullandığını bile biliyordu. Newman, Gulzar'ı önceden uyarmıştı ki Adun büyük bir savaştan sonra ikmal hatlarını kesmeye çalışacaktı. Newman'ın tavsiye ettiği gibi, Gulzar ikmal hatlarını açığa çıkardı ve savaştan sonra Adun'un küçük seçkin birliğini orada bekledi. Ancak Brooke, Newman'ın planının bir parçası değildi. Ve şimdi, Newman'ın planını bozmaya çalışan en büyük değişken haline geldi.",賢いニューマンは、グルザールに未来に起こる戦闘の戦略まで伝授した状態だった。ニューマンはアドンについてよく知っていた。ニューマンが戦争で普及炉を切る戦略をよく使うということまで知っていた。ニューマンはグルザールに事前に教えてくれた。アドンが大きな戦闘を行ったら、普及炉を切ろうとすることを。グルガルはニューマンが知らせたように普及炉を露出させ、大きな戦闘を行った後、そこでアドンの少数精鋭部隊を待っていた。しかし、ニューマンの計画にブルックの存在はなかった。そして彼が今最大の変数となってニューマンの計画を台無しにしている。,"O astuto Newman já havia transmitido a Gulzar a estratégia para a batalha iminente. Newman conhecia bem Adun. Sabia até que frequentemente empregava a estratégia de cortar as linhas de suprimento durante as guerras. Newman havia avisado Gulzar com antecedência que Adun tentaria cortar suas linhas de suprimento após uma grande batalha. Exatamente como Newman havia aconselhado, Gulzar expôs as linhas de suprimento e esperou pela pequena força de elite de Adun após a batalha. Contudo, Brooke não fazia parte do plano de Newman. E agora, ele se tornou a maior variável, tentando arruinar o plano de Newman."
stage title story 0_11,"Brook, whom they had regarded as nothing more than a strange being, was hiding more secrets than expected. There were humans who followed him. Although few in number, they were clearly well-trained soldiers. It appears they had been preparing for war here, just as Newman had known that a battle with humans would take place in this location. And now, those forces are joining forces with the Army of Adun to fight the final battle against Gulzar.",그저 이상한 존재로만 여겼던 브룩은 생각보다 많은 비밀을 감추고 있었다. 그를 따르는 휴먼들이 존재했다. 그 휴먼들은 소수이지만 분명 잘 훈련된 병사들이었다. 그들은 이곳에서 전쟁을 준비하고 있었던 것으로 보인다. 마치 뉴먼이 이곳에서 휴먼과의 전투가 일어날 것을 알았던 것처럼 말이다. 그리고 지금 그 병력들이 아둔의 군대와 합류하여 굴자르와의 마지막 전투를 치르려 하고 있다.,"Brook, che avevano considerato solo una strana creatura, nascondeva più segreti di quanto si aspettassero. C'erano degli umani che lo seguivano. Sebbene pochi di numero, erano chiaramente soldati ben addestrati. Sembra che si stessero preparando per la guerra proprio lì, così come Newman aveva previsto che in questo luogo si sarebbe combattuta una battaglia contro gli umani. E ora, queste forze si uniscono all'esercito di Adun per combattere la battaglia finale contro Gulzar.","Брук, которого они считали всего лишь странным существом, скрывал больше секретов, чем ожидалось. За ним следовали люди. Хотя их было немного, они явно были хорошо обученными солдатами. По-видимому, они готовились к войне здесь, как и Ньюман, который знал, что битва с людьми произойдет именно в этом месте. И теперь эти силы объединяются с армией Адуна, чтобы сразиться в решающей битве против Гулзара.","Brook, a quien habían considerado un ser extraño, ocultaba más secretos de los esperados. Había humanos que lo seguían. Aunque pocos, eran soldados claramente bien entrenados. Al parecer, se habían estado preparando para la guerra en este lugar, tal como Newman sabía que se libraría una batalla contra los humanos. Y ahora, esas fuerzas se unen al Ejército de Adun para librar la batalla final contra Gulzar.","Brook, qu'ils considéraient comme un simple être étrange, dissimulait bien plus de secrets qu'ils ne l'imaginaient. Des humains le suivaient. Peu nombreux, certes, mais manifestement des soldats aguerris, ils semblaient se préparer à la guerre, tout comme Newman pressentait qu'un affrontement avec des humains aurait lieu en ce lieu. À présent, ces forces s'allient à l'armée d'Adun pour livrer l'ultime bataille contre Gulzar.","Brook, den sie nur für ein seltsames Wesen gehalten hatten, verbarg mehr Geheimnisse als erwartet. Ihm folgten Menschen. Obwohl sie zahlenmäßig unterlegen waren, handelte es sich offensichtlich um gut ausgebildete Soldaten. Anscheinend hatten sie sich hier auf den Krieg vorbereitet, genau wie Newman es vorausgesagt hatte: An diesem Ort würde eine Schlacht mit Menschen stattfinden. Und nun verbünden sich diese Streitkräfte mit der Armee von Adun, um die finale Schlacht gegen Gulzar zu schlagen.","Sadece garip bir varlık olarak gördükleri Brook, beklenenden daha fazla sır saklıyordu. Onu takip eden insanlar vardı. Sayıları az olsa da, açıkça iyi eğitimli askerlerdi. Görünüşe göre, tıpkı Newman'ın bu bölgede insanlarla bir savaşın gerçekleşeceğini bildiği gibi, burada savaşa hazırlanıyorlardı. Ve şimdi, bu güçler Gulzar'a karşı son savaşı vermek için Adun Ordusu ile güçlerini birleştiriyorlar.",ただ奇妙な存在だと思っていたブルックは思ったより多くの秘密を隠していた。彼に従うヒューマンが存在した。そのヒューマンたちは少数だが明らかによく訓練された兵士だった。彼らはここで戦争を準備していたようです。まるでニューマンがここでヒューマンとの戦闘が起きるのを知っていたかのようだ。そして今、その兵力がアドンの軍隊と合流し、グルザルとの最後の戦闘を行おうとしている。,"Brook, que eles consideravam nada mais que um ser estranho, escondia mais segredos do que se esperava. Havia humanos que o seguiam. Embora poucos em número, eram claramente soldados bem treinados. Ao que tudo indica, eles vinham se preparando para a guerra ali, assim como Newman sabia que uma batalha contra humanos ocorreria naquele local. E agora, essas forças estão unindo forças com o Exército de Adun para travar a batalha final contra Gulzar."
stage title 1_0,Brook's Story,브룩의 이야기,La storia di Brook,История Брук,La historia de Brook,L'histoire de Brook,Brooks Geschichte,Brook'un Hikayesi,ブルックの物語,A história de Brook
stage title 1_1,Excessive interest,지나친 관심,Interesse eccessivo,Чрезмерный интерес,Interés excesivo,Intérêt excessif,Übermäßiges Interesse,Aşırı ilgi,過度の関心,Interesse excessivo
stage title 1_2,Weak beings,약한 존재,Esseri deboli,Слабые существа,Seres débiles,Êtres faibles,Schwache Wesen,Zayıf varlıklar,弱い存在,Seres fracos
stage title 1_3,Too many resources,너무 많은 자원,Troppe risorse,Слишком много ресурсов,Demasiados recursos,Trop de ressources,Zu viele Ressourcen,Çok fazla kaynak,多すぎるリソース,Recursos em excesso
stage title 1_4,Last exam,마지막 시험,Ultimo esame,Последний экзамен,Último examen,Dernier examen,Letzte Prüfung,Son sınav,最後のテスト,Último exame
stage title 1_5,Agree to disagree,동의하지 않음에 동의,Siamo d'accordo nel non essere d'accordo,Согласиться не соглашаться,Estar de acuerdo en discrepar,Accepter de ne pas être d'accord,"Einigen wir uns darauf, unterschiedlicher Meinung zu sein.",Farklı görüşlere saygı duymak,同意しないことに同意する,Concordar em discordar
stage title 1_6,Gulzar's true identity,굴자르의 정체,La vera identità di Gulzar,Истинная личность Гулзара,La verdadera identidad de Gulzar,La véritable identité de Gulzar,Gulzars wahre Identität,Gulzar'ın gerçek kimliği,グルザールの正体,A verdadeira identidade de Gulzar
stage title 1_7,Secret message,은밀한 전언,messaggio segreto,Секретное сообщение,Mensaje secreto,Message secret,Geheime Botschaft,Gizli mesaj,秘密の伝言,Mensagem secreta
stage title 1_8,The Power of Excuses,변명의 힘,Il potere delle scuse,Сила оправданий,El poder de las excusas,Le pouvoir des excuses,Die Macht der Ausreden,Mazeretlerin Gücü,言い訳の力,O Poder das Desculpas
stage title 1_9,Fish in water,물 만난 물고기,Pesci nell'acqua,Рыба в воде,Peces en el agua,Poissons dans l'eau,Fische im Wasser,Sudaki balıklar,水に会った魚,Peixes na água
stage title 1_10,The elder's younger brother,장로의 동생,Il fratello minore del maggiore,младший брат старшего,El hermano menor del mayor,le frère cadet de l'aîné,der jüngere Bruder des Älteren,Büyük olanın küçük erkek kardeşi,長老の弟,O irmão mais novo do mais velho
stage title 1_11,Brook's past,브룩의 과거,Il passato di Brook,прошлое Брука,El pasado de Brook,Le passé de Brook,Brooks Vergangenheit,Brook'un geçmişi,ブルックの過去,O passado de Brook
stage title story 1_0,"It was a few months before Brook and Adun met. Brook was gathering resources with a small force. These were valuable resources to be used in upcoming battles. However, Brook was in a situation where he could not let Newman discover that he was preparing for battle. Therefore, while he collected resources, he did not invade the Orc encampments. He had no choice but to fend off the invasions of the highly aggressive Orcs. The problem was that the number of Orcs invading Brook's base was increasing.",때는 브룩과 아둔이 만나기 몇 달 전이었다. 브룩은 소수의 병력으로 자원을 수집 중이었다. 앞으로의 전투에서 사용될 소중한 자원이었다. 다만 브룩은 뉴먼에게 자신이 전투를 준비중이라는 사실을 들키면 안되는 상황이었다. 그래서 자원을 채취하지만 오크의 주둔지를 침범하지는 않았다. 다만 공격성이 강한 오크의 침범은 막아낼 수 밖에 없었다. 문제는 브룩의 본거지를 침략하는 오크가 많아진다는 사실이었다.,"Erano trascorsi alcuni mesi prima che Brook e Adun si incontrassero. Brook stava raccogliendo risorse con una piccola forza. Si trattava di risorse preziose da utilizzare nelle battaglie imminenti. Tuttavia, Brook si trovava in una situazione in cui non poteva permettere a Newman di scoprire che si stava preparando per la battaglia. Pertanto, mentre raccoglieva risorse, non invase gli accampamenti degli Orchi. Non aveva altra scelta che respingere le invasioni degli Orchi, notoriamente aggressivi. Il problema era che il numero di Orchi che attaccavano la base di Brook era in costante aumento.","Прошло несколько месяцев до встречи Брука и Адуна. Брук собирал ресурсы с помощью небольшого отряда. Это были ценные ресурсы, которые предназначались для предстоящих сражений. Однако Брук оказался в ситуации, когда он не мог позволить Ньюману узнать о его подготовке к битве. Поэтому, собирая ресурсы, он не вторгался в лагеря орков. У него не было другого выбора, кроме как отражать вторжения крайне агрессивных орков. Проблема заключалась в том, что число орков, вторгающихся на базу Брука, постоянно росло.","Pasaron algunos meses antes de que Brook y Adun se conocieran. Brook estaba reuniendo recursos con una pequeña fuerza. Estos valiosos recursos serían utilizados en las próximas batallas. Sin embargo, Brook se encontraba en una situación en la que no podía permitir que Newman descubriera que se estaba preparando para la batalla. Por lo tanto, mientras reunía recursos, no invadió los campamentos orcos. No tuvo más remedio que repeler las invasiones de los orcos, sumamente agresivos. El problema era que el número de orcos que invadían la base de Brook iba en aumento.","Quelques mois s'écoulèrent avant la rencontre entre Brook et Adun. Brook, à la tête d'une petite troupe, rassemblait des ressources précieuses pour les batailles à venir. Cependant, il ne pouvait se permettre que Newman découvre ses préparatifs. Aussi, tout en collectant des ressources, il s'abstenait d'envahir les camps orques. Il n'avait d'autre choix que de repousser les invasions de ces orques particulièrement agressifs. Le problème était que le nombre d'orques attaquant sa base ne cessait d'augmenter.","Es vergingen einige Monate, bis Brook und Adun sich trafen. Brook sammelte mit einer kleinen Truppe wertvolle Vorräte für die bevorstehenden Schlachten. Er durfte Newman jedoch auf keinen Fall von seinen Kampfvorbereitungen erfahren lassen. Deshalb griff er die Orklager nicht an, während er Vorräte sammelte. Ihm blieb nichts anderes übrig, als die Angriffe der äußerst aggressiven Orks abzuwehren. Das Problem war, dass die Zahl der Orks, die Brooks Basis angriffen, stetig zunahm.","Brook ve Adun'un karşılaşmasından birkaç ay geçmişti. Brook küçük bir kuvvetle kaynak topluyordu. Bunlar yaklaşan savaşlarda kullanılacak değerli kaynaklardı. Ancak Brook, Newman'ın savaşa hazırlandığını keşfetmesine izin veremeyeceği bir durumdaydı. Bu nedenle, kaynak toplarken Ork kamplarına saldırmadı. Son derece saldırgan Orkların saldırılarını püskürtmekten başka çaresi yoktu. Sorun şu ki, Brook'un üssüne saldıran Orkların sayısı artıyordu.",時はブルックとアドンが会う数ヶ月前だった。ブルックは少数の兵力で資源を集めていた。これからの戦いで使われる大切な資源だった。ただしブルックはニューマンに自分が戦闘を準備中だという事実をバレてはならない状況だった。だから資源を採取するが、オークの駐屯地を侵犯しなかった。ただし攻撃性の強いオークの侵犯は防げるしかなかった。問題はブルックの本拠地を侵略するオークが多くなるという事実だった。,"Passaram-se alguns meses até que Brook e Adun se encontrassem. Brook estava reunindo recursos com uma pequena força. Esses recursos eram valiosos e seriam usados ​​em batalhas futuras. No entanto, Brook se encontrava numa situação em que não podia deixar Newman descobrir que ele estava se preparando para a batalha. Portanto, enquanto coletava recursos, ele não invadia os acampamentos orcs. Ele não tinha escolha a não ser repelir as invasões dos orcs, que eram extremamente agressivos. O problema era que o número de orcs que invadiam a base de Brook estava aumentando."
stage title story 1_1,"Gulzar heard about a strange entity. One of his soldiers said that there had been a presence active in the region since a river formed. Gulzar did not think much of it. Anything other than Humans or Orcs could certainly exist to pursue new resources. However, according to intelligence, while somewhat odd, it clearly looked like a Human. Slightly agitated by the mention of ""Human,"" Gulzar dispatched more troops to the strange entity's stronghold.",굴자르는 이상한 존재에 대해 듣게 되었다. 굴자르의 병사 중 하나가 이 지역에 강이 생긴 후부터 활동중인 존재가 있다고 했다. 굴자르는 이를 대수롭지 않게 여겼다. 새로운 자원이 생기면 이를 쫓는 존재는 휴먼과 오크가 아니더라도 충분히 존재할 수 있었다. 하지만 들려온 첩보에 따르면 조금 이상하기는 하나 분명 휴먼족의 모습이라고 했다. 휴먼이라는 말을 듣자 조금 흥분한 굴자르는 그 이상한 존재의 본거지에 조금 더 많은 병력을 파병했다.,"Gulzar venne a sapere di una strana entità. Uno dei suoi soldati disse che una sua presenza era attiva nella regione da quando si era formato un fiume. Gulzar non ci diede molta importanza. Qualsiasi altra cosa, oltre agli umani o agli orchi, poteva certamente esistere per cercare nuove risorse. Tuttavia, secondo le informazioni in suo possesso, sebbene alquanto bizzarra, la creatura aveva chiaramente l'aspetto di un umano. Leggermente infastidito dalla menzione di ""umano"", Gulzar inviò altre truppe alla roccaforte della strana entità.","Гулзар услышал о странном существе. Один из его солдат сказал, что в этом регионе наблюдается активность с тех пор, как образовалась река. Гулзар не придал этому особого значения. Вполне возможно, что-то, кроме людей или орков, могло существовать для добычи новых ресурсов. Однако, по данным разведки, хотя это и выглядело несколько странно, существо явно напоминало человека. Слегка взволнованный упоминанием «человека», Гулзар отправил дополнительные войска в крепость странного существа.","Gulzar oyó hablar de una extraña entidad. Uno de sus soldados comentó que había habido una presencia activa en la región desde que se formó un río. Gulzar no le dio mucha importancia. Cualquier otra criatura, aparte de humanos u orcos, podía existir buscando nuevos recursos. Sin embargo, según la información recibida, aunque algo extraña, tenía claramente la apariencia de un humano. Ligeramente inquieto al oír la palabra ""humano"", Gulzar envió más tropas a la fortaleza de la extraña entidad.","Gulzar entendit parler d'une étrange entité. Un de ses soldats lui confia qu'une présence était active dans la région depuis la formation d'une rivière. Gulzar n'y prêta pas attention. N'importe quelle créature autre que des humains ou des orques pouvait exister pour exploiter de nouvelles ressources. Cependant, d'après les renseignements, bien qu'un peu étrange, l'entité ressemblait clairement à un humain. Légèrement troublé par la mention d'un « humain », Gulzar dépêcha des renforts vers le repaire de l'étrange entité.","Gulzar hörte von einem seltsamen Wesen. Einer seiner Soldaten berichtete, dass seit der Entstehung eines Flusses eine Präsenz in der Region aktiv sei. Gulzar schenkte dem keine große Beachtung. Schließlich konnte alles außer Menschen und Orks existieren, um neue Ressourcen zu erschließen. Doch den Geheimdiensterkenntnissen zufolge sah das Wesen, obwohl etwas ungewöhnlich, eindeutig wie ein Mensch aus. Leicht beunruhigt von der Erwähnung des Wortes „Mensch“, entsandte Gulzar weitere Truppen zur Festung des seltsamen Wesens.","Gulzar, garip bir varlık hakkında bilgi aldı. Askerlerinden biri, bir nehir oluştuğundan beri bölgede aktif bir varlığın bulunduğunu söyledi. Gulzar bunu fazla önemsemedi. İnsanlar veya Orklar dışında herhangi bir şey yeni kaynaklar aramak için var olabilirdi elbette. Ancak istihbarata göre, biraz garip olsa da, açıkça bir insana benziyordu. ""İnsan"" kelimesinin geçmesinden biraz rahatsız olan Gulzar, garip varlığın kalesine daha fazla asker gönderdi.",グルザルは奇妙な存在について聞いた。グルザールの兵士の一つがこの地域に川ができた後から活動中の存在があるとした。グルザルはこれを台無しにしなかった。新しい資源ができれば、これを追う存在はヒューマンとオークでなくても十分に存在することができた。だが聞こえてきた諜報によると、ちょっとおかしいのはひとつ明らかにヒューマン族の姿だという。ヒューマンという言葉を聞くと、少し興奮したグルガルは、その奇妙な存在の本拠地にもう少し多くの兵力を派兵した。,"Gulzar ouviu falar de uma entidade estranha. Um de seus soldados disse que havia uma presença ativa na região desde a formação de um rio. Gulzar não deu muita importância. Certamente, qualquer coisa além de humanos ou orcs poderia existir em busca de novos recursos. No entanto, segundo informações de inteligência, embora um tanto peculiar, a criatura claramente se parecia com um humano. Ligeiramente irritado com a menção de ""humano"", Gulzar enviou mais tropas para a fortaleza da estranha entidade."
